common_name,gull_type
Black-headed Gull,Small to Medium Sized Gulls
Black-tailed Gull,Rarities
Bonaparte's Gull   ,Small to Medium Sized Gulls
California Gull,Gray-Backed White-Headed Gulls
Franklin's Gull,Small to Medium Sized Gulls
Glaucous-winged Gull  ,Gray-Backed White-Headed Gulls
Glaucous Gull,Gray-Backed White-Headed Gulls
Great Black-backed Gull,Large Dark-Backed Gulls
Heermann's Gull         ,Small to Medium Sized Gulls
Herring Gull,Gray-Backed White-Headed Gulls
Iceland Gull ,Gray-Backed White-Headed Gulls
Ivory Gull             ,Rarities
Kelp Gull,Rarities
Laughing Gull,Small to Medium Sized Gulls
Lesser Black-backed Gull,Large Dark-Backed Gulls
Little Gull,Small to Medium Sized Gulls
Mew Gull,Gray-Backed White-Headed Gulls
Ring-billed Gull,Gray-Backed White-Headed Gulls
Ross's Gull,Rarities
Sabine's Gull,Small to Medium Sized Gulls 
Slaty-backed Gull       ,Rarities
Western Gull,Large Dark-Backed Gulls
Yellow-footed Gull,Large Dark-Backed Gulls
