common_name,month,county,mean
Black-headed Gull,Apr,Santa Barbara,1
Black-headed Gull,Aug,Del Norte,1
Black-headed Gull,Dec,Riverside,1
Black-headed Gull,Dec,San Bernardino,1
Black-headed Gull,Dec,Santa Barbara,1
Black-headed Gull,Dec,Stanislaus,1
Black-headed Gull,Feb,Riverside,1
Black-headed Gull,Jan,Riverside,1
Black-headed Gull,Jan,Stanislaus,1
Black-headed Gull,Mar,Riverside,1
Black-tailed Gull,Feb,Del Norte,1
Black-tailed Gull,Feb,Los Angeles,1
Black-tailed Gull,Feb,Monterey,1
Black-tailed Gull,Feb,San Mateo,1
Black-tailed Gull,Jan,Monterey,1
Black-tailed Gull,Mar,Del Norte,1
Black-tailed Gull,May,San Francisco,1
Black-tailed Gull,Nov,Los Angeles,1
Bonaparte's Gull,Apr,Alameda,51.8
Bonaparte's Gull,Apr,Amador,4.5
Bonaparte's Gull,Apr,Butte,7.6
Bonaparte's Gull,Apr,Calaveras,2
Bonaparte's Gull,Apr,Colusa,2.5
Bonaparte's Gull,Apr,Contra Costa,41.3
Bonaparte's Gull,Apr,Del Norte,76.4
Bonaparte's Gull,Apr,Fresno,1
Bonaparte's Gull,Apr,Glenn,5.7
Bonaparte's Gull,Apr,Humboldt,17.9
Bonaparte's Gull,Apr,Imperial,21.2
Bonaparte's Gull,Apr,Inyo,4.3
Bonaparte's Gull,Apr,Kern,3.9
Bonaparte's Gull,Apr,Kings,4.9
Bonaparte's Gull,Apr,Lake,55.5
Bonaparte's Gull,Apr,Lassen,7.3
Bonaparte's Gull,Apr,Los Angeles,22.6
Bonaparte's Gull,Apr,Madera,1
Bonaparte's Gull,Apr,Marin,61.6
Bonaparte's Gull,Apr,Mariposa,1
Bonaparte's Gull,Apr,Mendocino,14.9
Bonaparte's Gull,Apr,Merced,72.1
Bonaparte's Gull,Apr,Modoc,9.8
Bonaparte's Gull,Apr,Mono,8.5
Bonaparte's Gull,Apr,Monterey,52.1
Bonaparte's Gull,Apr,Napa,5.3
Bonaparte's Gull,Apr,Orange,60.7
Bonaparte's Gull,Apr,Placer,5.4
Bonaparte's Gull,Apr,Plumas,2
Bonaparte's Gull,Apr,Riverside,42.3
Bonaparte's Gull,Apr,Sacramento,2.5
Bonaparte's Gull,Apr,San Benito,46
Bonaparte's Gull,Apr,San Bernardino,5.3
Bonaparte's Gull,Apr,San Diego,20.9
Bonaparte's Gull,Apr,San Francisco,3.5
Bonaparte's Gull,Apr,San Joaquin,61.5
Bonaparte's Gull,Apr,San Luis Obispo,15.9
Bonaparte's Gull,Apr,San Mateo,14.8
Bonaparte's Gull,Apr,Santa Barbara,39
Bonaparte's Gull,Apr,Santa Clara,26.6
Bonaparte's Gull,Apr,Santa Cruz,105.1
Bonaparte's Gull,Apr,Shasta,4.1
Bonaparte's Gull,Apr,Siskiyou,7.1
Bonaparte's Gull,Apr,Solano,5.9
Bonaparte's Gull,Apr,Sonoma,32.1
Bonaparte's Gull,Apr,Stanislaus,22.7
Bonaparte's Gull,Apr,Tehama,1
Bonaparte's Gull,Apr,Tulare,1.3
Bonaparte's Gull,Apr,Ventura,16.7
Bonaparte's Gull,Apr,Yolo,7.8
Bonaparte's Gull,Aug,Alameda,2.5
Bonaparte's Gull,Aug,Contra Costa,1.2
Bonaparte's Gull,Aug,Del Norte,1.2
Bonaparte's Gull,Aug,El Dorado,1
Bonaparte's Gull,Aug,Fresno,3
Bonaparte's Gull,Aug,Humboldt,1
Bonaparte's Gull,Aug,Imperial,4.3
Bonaparte's Gull,Aug,Inyo,6
Bonaparte's Gull,Aug,Kern,1.6
Bonaparte's Gull,Aug,Kings,4
Bonaparte's Gull,Aug,Lake,3.5
Bonaparte's Gull,Aug,Lassen,2.1
Bonaparte's Gull,Aug,Los Angeles,1.4
Bonaparte's Gull,Aug,Madera,2
Bonaparte's Gull,Aug,Marin,1
Bonaparte's Gull,Aug,Mendocino,1.4
Bonaparte's Gull,Aug,Modoc,1
Bonaparte's Gull,Aug,Mono,4.2
Bonaparte's Gull,Aug,Monterey,2.8
Bonaparte's Gull,Aug,Napa,1.5
Bonaparte's Gull,Aug,Orange,1
Bonaparte's Gull,Aug,Plumas,4
Bonaparte's Gull,Aug,Riverside,2.4
Bonaparte's Gull,Aug,San Bernardino,1
Bonaparte's Gull,Aug,San Diego,1
Bonaparte's Gull,Aug,San Francisco,3.6
Bonaparte's Gull,Aug,San Joaquin,1
Bonaparte's Gull,Aug,San Luis Obispo,1
Bonaparte's Gull,Aug,San Mateo,1.7
Bonaparte's Gull,Aug,Santa Barbara,1.2
Bonaparte's Gull,Aug,Santa Clara,2.6
Bonaparte's Gull,Aug,Santa Cruz,2.5
Bonaparte's Gull,Aug,Shasta,2
Bonaparte's Gull,Aug,Siskiyou,4
Bonaparte's Gull,Aug,Solano,1
Bonaparte's Gull,Aug,Sonoma,1.5
Bonaparte's Gull,Aug,Stanislaus,4
Bonaparte's Gull,Aug,Tulare,1.8
Bonaparte's Gull,Aug,Ventura,1.3
Bonaparte's Gull,Aug,Yolo,1
Bonaparte's Gull,Dec,Alameda,27.6
Bonaparte's Gull,Dec,Amador,1.2
Bonaparte's Gull,Dec,Calaveras,1
Bonaparte's Gull,Dec,Contra Costa,38.3
Bonaparte's Gull,Dec,Del Norte,2.8
Bonaparte's Gull,Dec,El Dorado,2
Bonaparte's Gull,Dec,Fresno,9.3
Bonaparte's Gull,Dec,Glenn,10.5
Bonaparte's Gull,Dec,Humboldt,6.1
Bonaparte's Gull,Dec,Imperial,16.1
Bonaparte's Gull,Dec,Kern,1.4
Bonaparte's Gull,Dec,Kings,39
Bonaparte's Gull,Dec,Lake,52.1
Bonaparte's Gull,Dec,Lassen,35
Bonaparte's Gull,Dec,Los Angeles,151.9
Bonaparte's Gull,Dec,Marin,2.1
Bonaparte's Gull,Dec,Mendocino,5.1
Bonaparte's Gull,Dec,Merced,35.3
Bonaparte's Gull,Dec,Modoc,1
Bonaparte's Gull,Dec,Mono,1.8
Bonaparte's Gull,Dec,Monterey,8.4
Bonaparte's Gull,Dec,Napa,19.8
